Aaron,亚伦
Abel,亚伯 (Abelard的昵称)
Abraham,亚伯拉罕
Adam,亚当
Adrian,艾德里安
Alva,阿尔瓦
Alex,亚历克斯 (Alexander的昵称)
Alexander,亚历山大
Alan,艾伦 (常变形为Eilian,、Allan,、Ailin)
Albert,艾伯特
Alfred,阿尔弗雷德
Andrew,安德鲁
Andy,安迪 (Andrew的昵称)
Angus,安格斯
Anthony,安东尼
Arthur,亚瑟
Austin,奥斯汀
Ben,本 (所有Ben,开头名字的昵称)
Benson,本森
Bill,比尔
Bob,鲍伯
Brandon,布兰登
Brant,布兰特
Brent,布伦特
Brian,布莱恩
Bruce,布鲁斯
Carl,卡尔
Cary,凯里
Caspar,卡斯帕
Charles,查尔斯
Cheney,采尼
Chris,克里斯 (Christian Christopher的昵称)
Christian,克里斯蒂安
Christopher,克里斯多夫
Colin,科林
Cosmo,科兹莫
Daniel,丹尼尔
Dennis,丹尼斯
Derek,德里克
Donald,唐纳德
Douglas,道格拉斯
David,大卫
Denny,丹尼
Edgar,埃德加
Edward,爱德华
Edwin,艾德文
Elliott,艾略特
Elvis,埃尔维斯
Eric,埃里克 (Frederick的昵称)
Evan,埃文
Francis,弗朗西斯
Frank,弗兰克 (Francis Franklin的昵称)
Franklin,富兰克林
Fred,弗瑞德
Gabriel,加百利
Gaby,加比 (Gabriel的昵称)
Garfield,加菲尔德
Gary,加里
Gavin,加文
George,乔治
Gino,基诺
Glen,格林
Glendon,格林顿
Harrison,哈里森
Hugo,雨果
Hunk,汉克
Howard,霍华德
Henry,亨利
Ignativs,伊格纳缇伍兹 (其变形为Ignace,伊格纳茨、Ignatz,伊格纳兹)
Ivan,伊凡
Isaac,艾萨克
Jack,杰克
Jackson,杰克逊
Jacob,雅各布
James,詹姆士 (Jacob的英文形式)
Jason,詹森
Jeffery,杰弗瑞
Jerome,杰罗姆
Jerry,杰瑞 (Gerald,，Jeremiah,，Jerome的昵称)
Jesse,杰西
Jim,吉姆 (James的昵称)
Jimmy,吉米 (James的昵称)
Joe,乔 (Joseph的昵称)
John,约翰
Johnny,约翰尼(亦译为：乔尼)
Joseph,约瑟夫
Joshua,约书亚
Justin,贾斯汀
Keith,凯斯
Ken,肯 (Ken,结尾名字的昵称)
Kenneth,肯尼斯
Kenny,肯尼 (Kenneth的昵称)
Kevin,凯文
Lance,兰斯
Larry,拉里 (Lawrence的昵称)
Laurent,劳伦特
Lawrence,劳伦斯
Leander,利安德尔
Lee,李
Leo,雷欧 (Leander,，Leonard,，Leopold的昵称)
Leonard,雷纳德
Leopold,利奥波特
Loren,劳伦 (同Lauren)
Lori,劳瑞 (同Lorry)
Lorin,劳瑞恩
Luke,卢克 (亦译为：路加)
Marcus,马库斯
Marcy,马西
Mark,马克
Marks,马科斯
Mars,马尔斯
Martin,马丁
Matthew,马修
Michael,迈克尔
Mike,麦克
Neil,尼尔
Nicholas,尼古拉斯
Oliver,奥利弗
Oscar,奥斯卡
Paul,保罗
Patrick,帕特里克 (亦译为：派翠克)
Peter,彼得
Philip,菲利普
Phoebe,菲比
Quentin,昆廷
Randall,兰德尔(同Randal)
Randolph,伦道夫
Randy,兰迪 (Randall Randolph的昵称)
Reed,列得
Rex,雷克斯
Richard,理查德
Richie,里奇 (同Rick,、Ricky,、Ritchie,。)
Robert,罗伯特
Robin,罗宾 (Robert,、Robinson的昵称)
Robinson,罗宾逊(亦译为：鲁宾逊)
Rock,洛克
Roger,罗杰
Roy,罗伊
Ryan,赖安
Sam,萨姆 (Samson Samuel的昵称，亦译为：山姆)
Sammy,萨米 (Samson Samuel的昵称)
Samuel,塞缪尔
Scott,斯考特
Sean,肖恩 (John的爱尔兰形式)
Shawn,肖恩 (同Sean)
Sidney,西德尼
Simon,西蒙
Solomon,所罗门
Spark,斯帕克
Spencer,斯宾塞
Spike,斯派克
Stanley,斯坦利
Steven,史蒂文 (同Stephen)
Stuart,斯图亚特
Terence,特伦斯
Terry,特里 (Terence的昵称)
Timothy,蒂莫西
Tommy,汤米 (Thomas的昵称)
Tom,汤姆 (Thomas的昵称)
Thomas,托马斯
Tony,托尼 (Anthony的昵称)
Tyler,泰勒
Van,范
Vern,弗恩 (Vernon的昵称)
Vernon,弗农
Vincent,文森特
Warren,沃伦
Wesley,卫斯理
William,威廉
Abigail,阿比盖尔
Abby,艾比 (Abigail的简写)
Ada,艾达 (Adelaide的简写)
Adelaide,阿德莱德
Adeline,艾德琳
Alexandra,亚历桑德拉
Ailsa,艾丽莎
Aimee,艾米
Alice,爱丽丝
Alina,艾琳娜
Allison,艾莉森
Amanda,阿曼达
Amy,艾美
Amber,安伯
Anastasia,阿纳斯塔西娅 (昵称Stacey)
Andrea,安德莉亚
Angela,安吉拉
Angelia,安吉莉亚
Angelina,安吉莉娜
Ann,安 (Hannah的英文形式)
Anne,安妮 (同Ann)
Annie,安妮 (Ann的昵称)
Anita,安尼塔 (Ann的西班牙写法)
Ariel,艾莉尔
April,阿普里尔
Ashley,艾许莉
Aviva,阿维娃 (同Avivahc,和Avivi)
Barbara,笆笆拉
Beata,贝亚特
Beatrice,比阿特丽斯 (同Beatrix)
Becky,贝基 (Rebecca的昵称)
Betty,贝蒂 (Elizabeth的昵称)
Blanche,布兰奇
Bonnie,邦妮
Brenda,布伦达 (Brandon,及Brendan的女性形式)
Camille,卡米尔
Candice,莰蒂丝
Carina,卡瑞娜
Carmen,卡门
Carol,凯罗尔
Caroline,卡罗琳
Carry,凯丽
Carrie,凯莉 (Carol,及Caroline的昵称，同Kerry)
Cassandra,卡桑德拉
Cassie,凯西 (Catherine,，Cassandra的昵称)
Catherine,凯瑟琳 (Katherine的英文形式，同Katherine)
Cathy,凯茜 (Catherine的昵称，同Kathy)
Chelsea,切尔西
Charlene,沙琳 (同Caroline Charlotte)
Charlotte,夏洛特
Cherry,切莉
Cheryl,雪莉尔 (Charlotte的另一形式，亦同Sheryl)
Chris,克莉丝 （Christine,，Kristine的简写，同Kris,）
Christina,克里斯蒂娜 (同Christine)
Christine,克里斯汀
Christy,克里斯蒂 (Christine的简写)
Cindy,辛迪 (Cinderella Cynthia Lucinda的昵称)
Claudia,克劳迪娅
Clement,克莱门特
Cloris,克劳瑞丝
Connie,康妮 (Constance的昵称)
Constance,康斯坦斯
